State,StateFull,Four-Year Education Appropriations,Four-Year Net FTE Enrollment,Four-Year Education Appropriations per FTE
AL,Alabama,813145962,143485,5667
AK,Alaska,317936098,16721,19014
AZ,Arizona,622277777,182299,3414
AR,Arkansas,548676917,82423,6657
CA,California,7274586904,672687,10814
CO,Colorado,545568907,127744,4271
CT,Connecticut,634374014,57374,11057
DE,Delaware,155842700,27524,5662
FL,Florida,3248078298,314088,10341
GA,Georgia,2238945239,268683,8333
HI,Hawaii,374900906,20434,18347
ID,Idaho,323995913,38429,8431
IL,Illinois,3013147777,166257,18123
IN,Indiana,1130208640,182388,6197
IA,Iowa,426445693,72148,5911
KS,Kansas,439318624,79358,5536
KY,Kentucky,681989500,99212,6874
LA,Louisiana,694398663,121674,5707
ME,Maine,196592225,24174,8132
MD,Maryland,1311024223,139253,9415
MA,Massachusetts,1130048154,110528,10224
MI,Michigan,1377071422,249975,5509
MN,Minnesota,807157700,108148,7463
MS,Mississippi,388431457,71200,5455
MO,Missouri,763826228,122734,6223
MT,Montana,177825497,29694,5989
NE,Nebraska,441972947,49798,8875
NV,Nevada,577637357,65255,8852
NH,New Hampshire,68362523,26500,2580
NJ,New Jersey,1858164310,162374,11444
NM,New Mexico,524321802,42183,12430
NY,New York,4356974861,326233,13355
NC,North Carolina,2368608880,214263,11055
ND,North Dakota,197780892,26753,7393
OH,Ohio,1517761010,287307,5283
OK,Oklahoma,470318839,88260,5329
OR,Oregon,421204801,83519,5043
PA,Pennsylvania,1191536050,251583,4736
RI,Rhode Island,132749964,21153,6276
SC,South Carolina,566846085,109116,5195
SD,South Dakota,152288960,27006,5639
TN,Tennessee,983445474,115558,8510
TX,Texas,4070398206,578843,7032
UT,Utah,739480825,102270,7231
VT,Vermont,58407952,17806,3280
VA,Virginia,1239774408,201878,6141
WA,Washington,979885049,112000,8749
WV,West Virginia,250382356,55501,4511
WI,Wisconsin,707630934,137600,5143
WY,Wyoming,200168188,10980,18230
DC,D.C.,93165903,3518,26483
