OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
02576900,CHARTER COLLEGE,AK,995084103,PROPRIETARY,0,0,0,0,0
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,PUBLIC,98,101,276479,142,274348
00100800,ATHENS STATE UNIVERSITY,AL,356111999,PUBLIC,7,7,42518,13,33325
00100900,AUBURN UNIVERSITY,AL,368495113,PUBLIC,240,247,1493445,251,1493752
00101300,CALHOUN COMMUNITY COLLEGE,AL,356092216,PUBLIC,14,14,69951,23,59197
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,PUBLIC,0,0,0,0,0
00101900,HUNTINGDON COLLEGE,AL,361062148,PRIVATE,0,0,0,0,0
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,PUBLIC,0,0,0,0,0
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,PUBLIC,0,0,0,0,0
00102800,MILES COLLEGE,AL,350642697,PRIVATE,323,371,1604166,660,1486245
00104100,SPRING HILL COLLEGE,AL,366081791,PRIVATE,0,0,0,0,0
00105000,TUSKEGEE UNIVERSITY,AL,360881645,PRIVATE,0,0,0,0,0
00105100,UNIVERSITY OF ALABAMA,AL,354870120,PUBLIC,1299,1504,20450405,2478,19802065
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,PUBLIC,363,433,2855528,677,2726554
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,PUBLIC,188,220,1454227,348,1391518
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,PUBLIC,0,0,0,0,0
01019300,HERZING UNIVERSITY,AL,352094816,PROPRIETARY,0,0,0,0,0
02341000,FORTIS COLLEGE,AL,366092012,PROPRIETARY,75,76,239957,180,215625
03010600,VIRGINIA COLLEGE,AL,352095154,PROPRIETARY,752,971,6259734,1989,5657206
03361400,FORTIS COLLEGE,AL,365353547,PROPRIETARY,10,10,41477,24,39840
03894300,HUNTSVILLE BIBLE COLLEGE,AL,358110000,PRIVATE,0,0,0,0,0
04121500,COLUMBIA SOUTHERN UNIVERSITY,AL,365613815,PROPRIETARY,0,0,0,0,0
04149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SCHOOL,AL,352164990,PROPRIETARY,3,3,16200,4,16200
00108700,ARKANSAS BAPTIST COLLEGE,AR,722026099,PRIVATE,43,47,237501,74,207624
00108900,ARKANSAS TECH UNIVERSITY,AR,728012222,PUBLIC,0,0,0,0,0
00109700,HARDING UNIVERSITY,AR,721490001,PRIVATE,0,0,0,0,0
00110000,JOHN BROWN UNIVERSITY,AR,727612747,PRIVATE,0,0,0,0,0
00110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,722041099,PUBLIC,0,0,0,0,0
00110600,WILLIAMS BAPTIST COLLEGE,AR,724764661,PRIVATE,22,22,106788,37,102841
00110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,722057102,PUBLIC,0,0,0,0,0
00111000,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,729047397,PUBLIC,1,1,4000,1,4000
00573200,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,718010000,PUBLIC,0,0,0,0,0
00792100,PAUL MITCHELL THE SCHOOL ARKANSAS,AR,727016216,PROPRIETARY,0,0,0,0,0
01074100,ACADEMY OF SALON AND SPA,AR,729013886,PROPRIETARY,4,4,22903,6,22903
01226000,EAST ARKANSAS COMMUNITY COLLEGE,AR,723352204,PUBLIC,8,8,16217,11,14635
02202400,PROFESSIONAL COSMETOLOGY EDUCATION CENTER,AR,717303349,PROPRIETARY,0,0,0,0,0
02260400,BEE JAY'S HAIRSTYLING ACADEMY,AR,722123903,PROPRIETARY,1,1,4000,1,4000
02341700,CAREER ACADEMY OF HAIR DESIGN,AR,727647128,PROPRIETARY,2,2,8557,4,8557
02525800,LEES SCHOOL OF COSMETOLOGY,AR,721143800,PROPRIETARY,0,0,0,0,0
03005100,ARKANSAS BEAUTY SCHOOL,AR,722095116,PROPRIETARY,1,1,2000,1,2000
03007100,HOT SPRINGS BEAUTY COLLEGE,AR,719015432,PROPRIETARY,0,0,0,0,0
03007600,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,720324354,PROPRIETARY,8,9,49205,18,49349
03063300,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,727125190,PUBLIC,0,0,0,0,0
03065100,ABC BEAUTY COLLEGE,AR,719234206,PROPRIETARY,1,1,10000,2,10000
03124900,IMAGINE - PAUL MITCHELL PARTNER SCHOOL,AR,721172516,PROPRIETARY,15,16,120148,24,103849
03254300,MARGARET'S HAIR ACADEMY,AR,716554905,PROPRIETARY,6,6,19285,11,16285
03519400,LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL,AR,717304804,PROPRIETARY,0,0,0,0,0
03912300,CROSSETT SCHOOL OF COSMETOLOGY,AR,716350000,PROPRIETARY,0,0,0,0,0
03997300,ARKANSAS BEAUTY COLLEGE,AR,728013741,PROPRIETARY,0,0,0,0,0
00107400,GRAND CANYON UNIVERSITY,AZ,850173030,PROPRIETARY,0,0,0,0,0
00107600,GLENDALE COMMUNITY COLLEGE,AZ,853023090,PUBLIC,0,0,0,0,0
00107700,MESA COMMUNITY COLLEGE,AZ,852024866,PUBLIC,0,0,0,0,0
00108100,ARIZONA STATE UNIVERSITY,AZ,852870412,PUBLIC,3334,3660,49708282,6295,47580742
00108200,NORTHERN ARIZONA UNIVERSITY,AZ,860110001,PUBLIC,1832,1890,18574688,3374,17628293
00108300,UNIVERSITY OF ARIZONA (THE),AZ,857210066,PUBLIC,0,0,0,0,0
00446700,TUCSON COLLEGE,AZ,857113781,PROPRIETARY,0,0,0,0,0
00726600,PIMA COUNTY COMMUNITY COLLEGE,AZ,857095000,PUBLIC,0,0,0,0,0
00832200,DEVRY INSTITUTE OF TECHNOLOGY,AZ,850212995,PROPRIETARY,0,0,0,0,0
00886400,ARIZONA ACADEMY OF BEAUTY,AZ,857125021,PROPRIETARY,2,2,10000,2,5568
00886500,EMPIRE BEAUTY SCHOOL,AZ,857163999,PROPRIETARY,33,37,134459,66,121495
00945100,BROWN MACKIE COLLEGE,AZ,857125300,PROPRIETARY,15,16,49054,44,37095
01084700,ARIZONA AUTOMOTIVE INSTITUTE,AZ,853013503,PROPRIETARY,34,35,212942,75,199485
01168900,REFRIGERATION SCHOOL (THE),AZ,850341894,PROPRIETARY,0,0,0,0,0
01180200,ARIZONA ACADEMY OF BEAUTY - NORTH,AZ,857052720,PROPRIETARY,4,4,16750,9,16786
01180800,EMPIRE BEAUTY SCHOOL - FLAGSTAFF,AZ,860045119,PROPRIETARY,37,38,154715,64,140441
01234300,EMPIRE BEAUTY SCHOOL,AZ,853232352,PROPRIETARY,50,55,264085,97,257649
01293700,EMPIRE BEAUTY SCHOOL,AZ,850327730,PROPRIETARY,12,13,39987,26,41053
02071200,KAPLAN COLLEGE,AZ,850294349,PROPRIETARY,23,26,169783,48,147256
02098800,UNIVERSITY OF PHOENIX,AZ,850401958,PROPRIETARY,37,37,195983,58,190972
02100500,UNIVERSAL TECHNICAL INSTITUTE,AZ,850279969,PROPRIETARY,1,1,1459,1,1459
02171500,WESTERN INTERNATIONAL UNIVERSITY,AZ,850212718,PROPRIETARY,0,0,0,0,0
02174900,COLLINS COLLEGE,AZ,850404000,PROPRIETARY,222,266,3994595,734,3585201
02217100,PIMA MEDICAL INSTITUTE,AZ,857162800,PROPRIETARY,178,192,759599,321,717318
02218800,BROOKLINE COLLEGE,AZ,850215815,PROPRIETARY,81,94,357981,169,328778
02220300,EMPIRE BEAUTY SCHOOL,AZ,850518499,PROPRIETARY,11,11,56596,22,52227
02263100,ANTHEM COLLEGE,AZ,850144973,PROPRIETARY,1,1,1404,1,1404
02280500,CHARLES OF ITALY BEAUTY COLLEGE,AZ,864035770,PROPRIETARY,2,2,14500,3,10750
02295000,EVEREST COLLEGE PHOENIX,AZ,850211610,PROPRIETARY,0,0,0,0,0
02491500,ART CENTER DESIGN COLLEGE (THE),AZ,857162505,PROPRIETARY,73,93,724258,140,620432
02521500,LAMSON COLLEGE,AZ,852841141,PROPRIETARY,4,4,18491,7,18491
02559000,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,852831056,PROPRIETARY,3,3,33440,4,24940
02561900,BRILLARE HAIRDRESSING ACADEMY,AZ,852543301,PROPRIETARY,3,3,25650,5,25650
02616700,LE CORDON BLEU COLLEGE OF CULINARY ARTS,AZ,852512729,PROPRIETARY,13,13,139828,22,139260
02623600,PARADISE VALLEY COMMUNITY COLLEGE,AZ,850321210,PUBLIC,3,3,19482,5,15882
03034400,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,852821707,PROPRIETARY,3,3,26954,5,26954
03072200,CHANDLER - GILBERT COMMUNITY COLLEGE,AZ,852252499,PUBLIC,8,9,58518,16,58518
03076400,BRYMAN SCHOOL OF ARIZONA (THE),AZ,850294919,PROPRIETARY,1,1,1924,2,1924
03097800,CARSTEN AVEDA INSTITUTE,AZ,852825404,PROPRIETARY,0,0,0,0,0
03115000,ARIZONA COLLEGE OF ALLIED HEALTH,AZ,853023843,PROPRIETARY,0,0,0,0,0
03120300,COLLEGE AMERICA - FLAGSTAFF,AZ,860043936,PROPRIETARY,0,0,0,0,0
03445300,HDS TRUCK DRIVING INSTITUTE,AZ,857069263,PROPRIETARY,1,1,4867,2,4941
03478400,PHOENIX SEMINARY,AZ,850187611,PRIVATE,0,0,0,0,0
03740500,ART INSTITUTE OF TUCSON (THE),AZ,857122732,PROPRIETARY,9,10,119382,21,102817
03813300,NORTHCENTRAL UNIVERSITY,AZ,863142336,PROPRIETARY,0,0,0,0,0
04051300,ART INSTITUTE OF PHOENIX (THE),AZ,850212859,PROPRIETARY,102,125,1163113,311,1062469
04059300,TUCSON COLLEGE OF BEAUTY,AZ,857052451,PROPRIETARY,6,7,28900,13,28900
04138800,MODERN TECHNIQUES BEAUTY COLLEGE,AZ,864032974,PROPRIETARY,0,0,0,0,0
04152900,STUDIO ACADEMY OF BEAUTY (THE),AZ,852243600,PROPRIETARY,1,1,4378,2,4324
00111700,AZUSA PACIFIC UNIVERSITY,CA,917027000,PRIVATE,1,1,5000,1,5000
00112300,BROOKS INSTITUTE,CA,931031809,PROPRIETARY,4,4,82595,8,82118
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,911250001,PRIVATE,28,28,592172,77,572514
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY",CA,945423000,PUBLIC,0,0,0,0,0
00113900,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,908400006,PUBLIC,0,0,0,0,0
00114000,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,900324226,PUBLIC,0,0,0,0,0
00114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,907470001,PUBLIC,9,10,39939,14,36997
00114200,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",CA,924072397,PUBLIC,335,352,2883305,884,2708907
00114600,"CALIFORNIA STATE UNIVERSITY, CHICO",CA,959290001,PUBLIC,374,383,3579616,685,3507585
00114900,HUMBOLDT STATE UNIVERSITY,CA,955218299,PUBLIC,258,272,2603858,482,2467946
00115000,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CA,958196044,PUBLIC,0,0,0,0,0
00115100,SAN DIEGO STATE UNIVERSITY,CA,921821690,PUBLIC,1574,1582,17158232,2943,16264856
00115300,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,913308307,PUBLIC,0,0,0,0,0
00115400,SAN FRANCISCO STATE UNIVERSITY,CA,941321740,PUBLIC,0,0,0,0,0
00115500,SAN JOSE STATE UNIVERSITY,CA,951920036,PUBLIC,0,0,0,0,0
00115600,SONOMA STATE UNIVERSITY,CA,949283609,PUBLIC,708,722,8834253,1317,8374843
00116300,CHAFFEY COMMUNITY COLLEGE,CA,917379400,PUBLIC,0,0,0,0,0
00116600,CITRUS COMMUNITY COLLEGE,CA,917411899,PUBLIC,14,14,69972,26,66843
00120000,FULLER THEOLOGICAL SEMINARY,CA,911820002,PRIVATE,0,0,0,0,0
00120500,GOLDEN GATE UNIVERSITY,CA,941052967,PRIVATE,0,0,0,0,0
00121500,LA SIERRA UNIVERSITY,CA,925153332,PRIVATE,0,0,0,0,0
00121800,LOMA LINDA UNIVERSITY,CA,923500001,PRIVATE,18,20,422519,65,415930
00121900,LONG BEACH CITY COLLEGE,CA,908081780,PUBLIC,0,0,0,0,0
00122300,LOS ANGELES CITY COLLEGE,CA,900293588,PUBLIC,7,7,69333,9,64127
00122400,LOS ANGELES HARBOR COLLEGE,CA,907442397,PUBLIC,0,0,0,0,0
00122600,LOS ANGELES PIERCE COLLEGE,CA,913710001,PUBLIC,0,0,0,0,0
