V6901,V6902,V7071,V7095,V7193,V7261,V7451,ER72001,ER72002,ER72022,ER72024,ER72164,ER72441,ER77631
3,6090,0,4,6,1,16,,,,,,,
3,3539,14,1,6,1,23,,,,,,,
3,1758,5,2,1,1,14,,,,,,,
,,,,,,,1,4574,0,4,5,0,35.912
,,,,,,,1,8597,0,4,1,0,40.128
,,,,,,,1,6314,0,5,5,0,23.899
,,,,,,,1,7898,0,2,1,0,23.406
,,,,,,,1,7781,3,4,6,0,14.996
,,,,,,,1,4983,0,2,1,0,23.603
3,3727,4,1,6,1,11,,,,,,,
3,1711,1,1,6,1,10,,,,,,,
,,,,,,,1,4681,3,1,1,1,13.458
,,,,,,,1,5671,0,1,1,1,8.513
,,,,,,,1,6506,0,2,1,6,14.723
,,,,,,,1,8968,8,1,1,4,7.866
3,6339,10,1,6,1,31,,,,,,,
,,,,,,,1,6228,0,3,6,0,40.976
,,,,,,,1,9326,0,1,1,5,34.749
,,,,,,,1,5234,2,4,5,1,19.19
,,,,,,,1,6282,0,2,3,7,10.039
,,,,,,,1,5026,0,3,1,5,36.075
,,,,,,,1,9491,10,2,1,1,5.416
3,1243,0,1,1,1,31,,,,,,,
3,2135,0,7,1,1,14,1,6444,0,1,1,1,30.827
,,,,,,,1,8441,4,1,1,1,17.342
,,,,,,,1,8878,1,1,1,6,13.491
,,,,,,,1,5801,0,1,1,1,17.373
3,2136,5,1,1,1,17,1,4882,0,1,4,4,35.737
3,152,0,4,6,1,32,,,,,,,
3,252,3,1,1,1,16,1,4054,0,5,5,0,77.811
3,395,5,6,0,4,31,1,4037,0,4,4,0,83.248
3,209,0,5,6,1,14,,,,,,,
,,,,,,,1,4127,0,4,1,0,40.252
,,,,,,,1,3985,0,1,5,5,21.255
,,,,,,,1,4093,9,5,1,0,22.881
,,,,,,,1,4136,8,1,1,6,46.842
,,,,,,,1,4045,0,4,1,7,20.814
,,,,,,,1,4355,0,2,1,0,18.907
,,,,,,,1,4231,0,2,1,0,44.717
,,,,,,,1,4308,2,1,1,6,20.643
,,,,,,,1,3992,4,2,1,1,16.803
,,,,,,,1,4048,0,2,3,0,42.184
,,,,,,,1,4198,2,2,1,0,15.743
,,,,,,,1,4077,1,2,3,0,19.168
,,,,,,,1,4044,17,1,1,1,19.914
,,,,,,,1,3893,7,1,1,6,19.904
,,,,,,,1,4092,13,1,5,5,10.095
,,,,,,,1,4016,4,1,1,6,13.49
,,,,,,,1,4454,2,2,1,6,14.762
,,,,,,,1,4131,0,2,1,1,10.553
,,,,,,,1,4290,1,2,1,6,16.234
3,6053,14,4,0,3,4,,,,,,,
,,,,,,,1,2935,0,4,4,0,11.619
3,5580,0,1,0,2,9,,,,,,,
,,,,,,,1,3135,0,4,1,0,9.497
,,,,,,,1,2994,0,2,6,0,11.333
3,5581,4,1,1,1,2,1,3145,0,1,4,5,7.63
,,,,,,,1,3172,9,2,1,0,3.303
,,,,,,,1,3101,0,2,3,3,2.657
,,,,,,,1,2922,12,1,1,1,3.269
,,,,,,,1,3136,1,1,1,1,2.044
3,4949,0,4,1,1,33,,,,,,,
3,3431,0,1,1,1,17,1,649,0,4,4,0,73.918
3,3336,0,1,1,1,33,,,,,,,
3,3772,0,2,0,2,39,1,1903,0,4,4,0,83.362
3,4588,2,1,1,1,18,1,1634,0,1,4,4,39.941
,,,,,,,1,2491,8,4,1,1,13.821
3,305,16,1,0,4,35,,,,,,,
3,3337,0,1,0,2,39,,,,,,,
3,5120,0,1,0,2,34,,,,,,,
,,,,,,,1,1536,0,1,4,4,41.045
,,,,,,,1,2738,3,1,1,6,13.432
,,,,,,,1,1484,0,2,1,0,21.986
,,,,,,,1,1937,0,2,7,0,39.917
,,,,,,,1,1611,0,1,4,1,39.966
,,,,,,,1,2897,1,2,1,6,19.542
3,316,0,4,0,3,33,,,,,,,
3,3752,17,1,0,5,33,,,,,,,
3,5548,13,7,0,5,33,1,8951,0,4,4,0,59.48
,,,,,,,1,8879,0,1,4,6,23.544
3,4054,1,1,6,1,16,,,,,,,
,,,,,,,1,8942,2,1,1,6,17.595
,,,,,,,1,8354,0,2,3,0,45.902
,,,,,,,1,4578,9,1,1,1,20.455
3,4581,0,1,0,3,35,,,,,,,
3,4166,0,2,1,1,33,,,,,,,
3,4199,0,1,1,1,16,1,5180,0,1,1,1,27.514
3,2607,1,2,6,1,16,1,5937,0,1,4,4,33.665
3,4554,7,1,1,1,18,1,5345,0,4,2,0,77.933
3,3771,6,1,1,1,20,1,5638,0,4,4,0,63.471
,,,,,,,1,4822,2,1,1,0,21.311
,,,,,,,1,9518,0,4,1,1,17.052
,,,,,,,1,6041,4,4,6,0,24.206
,,,,,,,1,8839,7,4,1,0,6.069
,,,,,,,1,6392,5,1,1,1,19.234
3,4200,0,1,1,1,33,,,,,,,
,,,,,,,1,5748,0,2,1,0,82.615
,,,,,,,1,9381,6,4,1,0,25.822
,,,,,,,1,6714,0,4,1,0,29.173
3,2238,0,1,0,4,4,,,,,,,
3,3081,0,1,0,4,2,,,,,,,
3,2360,15,1,0,4,2,,,,,,,
,,,,,,,1,4247,0,4,1,0,5.594
,,,,,,,1,4039,0,4,2,0,6.795
,,,,,,,1,3989,4,4,1,0,2.048
,,,,,,,1,4137,2,1,1,1,0.962
3,1123,0,4,6,1,34,,,,,,,
,,,,,,,1,8235,0,4,4,0,74.834
,,,,,,,1,6758,6,1,6,1,20.694
3,1456,9,1,1,1,18,,,,,,,
3,2561,0,4,0,3,31,,,,,,,
