National Center for Education Statistics,,,,,
,,,,,
Variance estimation method: BRR,,,,,
,,,,,
Expected Family Contribution by Race/ethnicity (with multiple). Filtered by Direct PLUS Loans to parents (X >= 2). ,,,,,
,,,,,
,Expected Family Contribution,,,,
,0 <= X <= 0,1 <= X <= 1000000,Total,,
,(%),(%),,,
,,,,,
ESTIMATES,,,,,
Total,17.5019,82.4981,100%,,
Race/ethnicity (with multiple),,,,,
White,8.1186,91.8814,100%,,
Black or African American,41.8393,58.1607,100%,,
Hispanic or Latino,25.9466,74.0534,100%,,
Asian,10.6502,89.3498,100%,,
American Indian or Alaska Native,14.8432 !!,85.1568,100%,,
Native Hawaiian/other Pacific Islander,1.3843 !,98.6157,100%,,
More than one race,20.3574,79.6426,100%,,
,,,,,
STANDARD ERRORS (BRR),,,,,
Total,0.80641,0.80641,,,
Race/ethnicity (with multiple),,,,,
White,0.71702,0.71702,,,
Black or African American,2.83899,2.83899,,,
Hispanic or Latino,3.76547,3.76547,,,
Asian,3.95573,3.95573,,,
American Indian or Alaska Native,10.43588,10.43588,,,
Native Hawaiian/other Pacific Islander,0.66986,0.66986,,,
More than one race,5.40841,5.40841,,,
,,,,,
RELATIVE STANDARD ERRORS (%),,,,,
Total,4.60757,0.9775,,,
Race/ethnicity (with multiple),,,,,
White,8.83184,0.78038,,,
Black or African American,6.78545,4.88128,,,
Hispanic or Latino,14.51241,5.08481,,,
Asian,37.14226,4.42724,,,
American Indian or Alaska Native,70.30745,12.2549,,,
Native Hawaiian/other Pacific Islander,48.38857,0.67927,,,
More than one race,26.56733,6.79085,,,
,,,,,
WEIGHTED SAMPLE SIZES,,,,,
Total,146017,688274,834291,,
Race/ethnicity (with multiple),,,,,
White,37155,420502,457657,,
Black or African American,62934,87484,150418,,
Hispanic or Latino,28149,80338,108487,,
Asian,5298,44445,49743,,
American Indian or Alaska Native,1069,6133,7202,,
Native Hawaiian/other Pacific Islander,70,4998,5068,,
More than one race,11342,44372,55714,,
,,,,,
CONFIDENCE INTERVALS,,,,,
,Expected Family Contribution,,,,
,0 <= X <= 0,,1 <= X <= 1000000,,Total
,Amount,95% Confidence Interval,Amount,95% Confidence Interval,
Total,17.5019,15.92 - 19.08,82.4981,80.92 - 84.08,100%
Race/ethnicity (with multiple),,,,,
White,8.1186,6.71 - 9.52,91.8814,90.48 - 93.29,100%
Black or African American,41.8393,36.27 - 47.40,58.1607,52.60 - 63.73,100%
Hispanic or Latino,25.9466,18.57 - 33.33,74.0534,66.67 - 81.43,100%
Asian,10.6502 !,2.90 - 18.40,89.3498,81.60 - 97.10,100%
American Indian or Alaska Native,14.8432 !!,-40.91,85.1568,64.70 - 105.61,100%
Native Hawaiian/other Pacific Islander,1.3843 !,0.07 - 2.70,98.6157,97.30 - 99.93,100%
More than one race,20.3574,9.76 - 30.96,79.6426,69.04 - 90.24,100%
,,,,,
! Interpret data with caution. Estimate is unstable because the standard error represents more than 30 percent of the estimate.,,,,,
!! Interpret data with caution. Estimate is unstable because the standard error represents more than 50 percent of the estimate.,,,,,
,,,,,
"The names of the variables used in this table are: EFC, RACE, and  PLUSAMT. The variable names are unique identifiers. To locate these variables, enter the variable name in the search box.",,,,,
,,,,,
The weight variable used to calculate the data is WTA000,,,,,
,,,,,
NOTE: Detail may not sum to totals because of rounding.,,,,,
,,,,,
"Source: U.S. Department of Education, National Center for Education Statistics, National Postsecondary Student Aid Study-Administrative Collection: 2018, Undergraduates (NPSAS-AC).",,,,,
,,,,,
Computation by NCES PowerStats on 5/3/2022 at 21:13:53 UTC.,,,,,
,,,,,
The table number to retrieve results is jkaafa,,,,,
