National Center for Education Statistics,,,,,
,,,,,
Variance estimation method: BRR,,,,,
,,,,,
Direct PLUS Loans to parents by Race/ethnicity (with multiple). ,,,,,
,,,,,
,Direct PLUS Loans to parents,,,,
,0 <= X <= 0,2 <= X <= 71806,Total,,
,(%),(%),,,
,,,,,
ESTIMATES,,,,,
Total,92.4889,7.5111,100%,,
Race/ethnicity (with multiple),,,,,
White,92.2135,7.7865,100%,,
Black or African American,89.3416,10.6584,100%,,
Hispanic or Latino,94.3681,5.6319,100%,,
Asian; Native Hawaiian/other Pacific Islander,95.3209,4.6791,100%,,
American Indian or Alaska Native,96.6862,3.3138,100%,,
More than one race,89.7703,10.2297,100%,,
,,,,,
STANDARD ERRORS (BRR),,,,,
Total,0.12853,0.12853,,,
Race/ethnicity (with multiple),,,,,
White,0.20594,0.20594,,,
Black or African American,0.5735,0.5735,,,
Hispanic or Latino,0.43378,0.43378,,,
Asian; Native Hawaiian/other Pacific Islander,0.59194,0.59194,,,
American Indian or Alaska Native,1.11811,1.11811,,,
More than one race,0.81646,0.81646,,,
,,,,,
RELATIVE STANDARD ERRORS (%),,,,,
Total,0.13897,1.71117,,,
Race/ethnicity (with multiple),,,,,
White,0.22333,2.64481,,,
Black or African American,0.64192,5.38078,,,
Hispanic or Latino,0.45967,7.70218,,,
Asian; Native Hawaiian/other Pacific Islander,0.621,12.65082,,,
American Indian or Alaska Native,1.15643,33.74149,,,
More than one race,0.9095,7.98132,,,
,,,,,
WEIGHTED SAMPLE SIZES,,,,,
Total,9693150,787187,10480337,,
Race/ethnicity (with multiple),,,,,
White,5107313,431262,5538575,,
Black or African American,1200180,143180,1343360,,
Hispanic or Latino,1663824,99298,1763122,,
Asian; Native Hawaiian/other Pacific Islander,1097549,53876,1151425,,
American Indian or Alaska Native,145187,4976,150163,,
More than one race,479096,54595,533691,,
,,,,,
CONFIDENCE INTERVALS,,,,,
,Direct PLUS Loans to parents,,,,
,0 <= X <= 0,,2 <= X <= 71806,,Total
,Amount,95% Confidence Interval,Amount,95% Confidence Interval,
Total,92.4889,92.24 - 92.74,7.5111,7.26 - 7.76,100%
Race/ethnicity (with multiple),,,,,
White,92.2135,91.81 - 92.62,7.7865,7.38 - 8.19,100%
Black or African American,89.3416,88.22 - 90.47,10.6584,9.53 - 11.78,100%
Hispanic or Latino,94.3681,93.52 - 95.22,5.6319,4.78 - 6.48,100%
Asian; Native Hawaiian/other Pacific Islander,95.3209,94.16 - 96.48,4.6791,3.52 - 5.84,100%
American Indian or Alaska Native,96.6862,94.49 - 98.88,3.3138 !,1.12 - 5.51,100%
More than one race,89.7703,88.17 - 91.37,10.2297,8.63 - 11.83,100%
,,,,,
! Interpret data with caution. Estimate is unstable because the standard error represents more than 30 percent of the estimate.,,,,,
,,,,,
"The names of the variables used in this table are: PLUSAMT and RACE. The variable names are unique identifiers. To locate these variables, enter the variable name in the search box.",,,,,
,,,,,
The weight variable used to calculate the data is WTA000,,,,,
,,,,,
NOTE: Detail may not sum to totals because of rounding.,,,,,
,,,,,
"Source: U.S. Department of Education, National Center for Education Statistics, National Postsecondary Student Aid Study-Administrative Collection: 2018, Undergraduates (NPSAS-AC).",,,,,
,,,,,
Computation by NCES PowerStats on 4/23/2022 at 19:39:14 UTC.,,,,,
,,,,,
The table number to retrieve results is lubjnx,,,,,
