National Center for Education Statistics,,,,,
,,,,,
Variance estimation method: BRR,,,,,
,,,,,
Expected Family Contribution (composite) 1999-2000 by Race/ethnicity (historical) 1999-2000. Filtered by PLUS loan total 1999-2000 (X >= 204). ,,,,,
,,,,,
,Expected Family Contribution (composite) 1999-2000,,,,
,0 <= X <= 0,1 <= X <= 99237,Total,,
,(%),(%),,,
,,,,,
ESTIMATES,,,,,
Total,4.9844,95.0156,100%,,
Race/ethnicity (historical) 1999-2000,,,,,
"White, non-Hispanic",2.8458,97.1542,100%,,
"Black, non-Hispanic",9.8093,90.1907,100%,,
Hispanic or Latino,13.3771,86.6229,100%,,
Asian,11.268,88.732,100%,,
American Indian/Alaska Native,‡,‡,100%,,
Native Hawaiian/other Pacific Islander,‡,‡,100%,,
Other,‡,‡,100%,,
,,,,,
STANDARD ERRORS (BRR),,,,,
Total,0.48698,0.48698,,,
Race/ethnicity (historical) 1999-2000,,,,,
"White, non-Hispanic",0.40521,0.40521,,,
"Black, non-Hispanic",2.53891,2.53891,,,
Hispanic or Latino,2.24964,2.24964,,,
Asian,4.9226,4.9226,,,
American Indian/Alaska Native,‡,‡,,,
Native Hawaiian/other Pacific Islander,‡,‡,,,
Other,‡,‡,,,
,,,,,
RELATIVE STANDARD ERRORS (%),,,,,
Total,9.77012,0.51253,,,
Race/ethnicity (historical) 1999-2000,,,,,
"White, non-Hispanic",14.23908,0.41708,,,
"Black, non-Hispanic",25.88264,2.81505,,,
Hispanic or Latino,16.81716,2.59705,,,
Asian,43.68651,5.54772,,,
American Indian/Alaska Native,‡,‡,,,
Native Hawaiian/other Pacific Islander,‡,‡,,,
Other,‡,‡,,,
,,,,,
WEIGHTED SAMPLE SIZES,,,,,
Total,25204,480453,505657,,
Race/ethnicity (historical) 1999-2000,,,,,
"White, non-Hispanic",10801,368759,379560,,
"Black, non-Hispanic",5514,50695,56209,,
Hispanic or Latino,5518,35732,41250,,
Asian,1928,15186,17114,,
American Indian/Alaska Native,‡,‡,‡,,
Native Hawaiian/other Pacific Islander,‡,‡,‡,,
Other,‡,‡,‡,,
,,,,,
CONFIDENCE INTERVALS,,,,,
,Expected Family Contribution (composite) 1999-2000,,,,
,0 <= X <= 0,,1 <= X <= 99237,,Total
,Amount,95% Confidence Interval,Amount,95% Confidence Interval,
Total,4.9844,4.01 - 5.96,95.0156,94.04 - 95.99,100%
Race/ethnicity (historical) 1999-2000,,,,,
"White, non-Hispanic",2.8458,2.03 - 3.66,97.1542,96.34 - 97.97,100%
"Black, non-Hispanic",9.8093,4.71 - 14.91,90.1907,85.09 - 95.29,100%
Hispanic or Latino,13.3771,8.86 - 17.89,86.6229,82.11 - 91.14,100%
Asian,11.2680 !,1.38 - 21.15,88.732,78.85 - 98.62,100%
American Indian/Alaska Native,‡,‡,‡,‡,100%
Native Hawaiian/other Pacific Islander,‡,‡,‡,‡,100%
Other,‡,‡,‡,‡,100%
,,,,,
! Interpret data with caution. Estimate is unstable because the standard error represents more than 30 percent of the estimate.,,,,,
‡ Reporting standards not met,,,,,
,,,,,
"The names of the variables used in this table are: EFC4, RACE1, and  PLUSAMT. The variable names are unique identifiers. To locate these variables, enter the variable name in the search box.",,,,,
,,,,,
The weight variable used to calculate the data is WTA000,,,,,
,,,,,
NOTE: Detail may not sum to totals because of rounding.,,,,,
,,,,,
"Source: U.S. Department of Education, National Center for Education Statistics, National Postsecondary Student Aid Study: 2000 Undergraduates (NPSAS:UG).",,,,,
,,,,,
Computation by NCES PowerStats on 5/3/2022 at 21:24:40 UTC.,,,,,
,,,,,
The table number to retrieve results is ppercq,,,,,
