"National Center for Education Statistics"

"Variance estimation method: BRR"

"Job 2017: annual salary in 2017 (average) with zeros by Field of study or major (detailed) 2011-12. Filtered by [Cumulative persistence and attainment anywhere through 2016-17 (Attained bachelor's degree, Attained associate's degree, Attained certificate) AND Date of last enrollment through June 2017 (X <= 201612)]. "

"","Job 2017: annual salary in 2017"
"","( Average )"
"ESTIMATES"
"Total","35772.6220"
"Field of study or major (detailed) 2011-12"
"Undecided or Undeclared","37390.8103"
"Agriculture and related sciences","36836.8927"
"Natural resources and conservation","32084.4302"
"Architecture, planning, related services","‡"
"Area, ethnic, and gender studies","‡"
"Communication and journalism","35434.4474"
"Communications technologies/technicians","37376.1672"
"Computer and information sciences","50282.0630"
"Personal and culinary services","23885.4905"
"Education","30801.0893"
"Engineering","55503.2455"
"Engineering technologies/technicians","44618.8951"
"Foreign languages and literatures","‡"
"Family, consumer, and human sciences","34269.1112"
"Legal professions and studies","36436.0370"
"English language and literature/letters","30594.1392"
"Liberal arts, sciences and humanities","31929.7104"
"Library science","‡"
"Biological and biomedical sciences","32096.6447"
"Mathematics and statistics","43561.2076"
"Military Technologies","‡"
"Multi/interdisciplinary studies","36693.3422"
"Parks, recreation, and fitness studies","25163.6456"
"Philosophy and religious studies","‡"
"Theology and religious vocations","‡"
"Physical sciences","36909.8535"
"Science technologies/technicians","‡"
"Psychology","28651.2342"
"Security and protective services","32007.5770"
"Public administration/social services","28139.3000"
"Construction trades","46701.4087"
"Mechanic and repair technologies","37576.1342"
"Precision production","39332.4469"
"Transportation and materials moving","38394.3224"
"Visual and performing arts","28929.0376"
"Health professions and related sciences","30081.0581"
"Business, management, and marketing","43098.2439"
"History","32256.7250"
"Anthropology","‡"
"Criminology","‡"
"Economics","49890.2052"
"Geography","‡"
"International relations and affairs","‡"
"Political science and government","40810.6357"
"Sociology","‡"
"Social sciences, other","‡"

"STANDARD ERRORS (BRR)"
"Total","435.54649"
"Field of study or major (detailed) 2011-12"
"Undecided or Undeclared","2197.81489"
"Agriculture and related sciences","4722.26745"
"Natural resources and conservation","1947.25268"
"Architecture, planning, related services","‡"
"Area, ethnic, and gender studies","‡"
"Communication and journalism","1638.79362"
"Communications technologies/technicians","3148.22472"
"Computer and information sciences","2577.10219"
"Personal and culinary services","1159.57280"
"Education","1256.35044"
"Engineering","2276.24834"
"Engineering technologies/technicians","3950.69818"
"Foreign languages and literatures","‡"
"Family, consumer, and human sciences","7407.87500"
"Legal professions and studies","5228.20982"
"English language and literature/letters","2507.24714"
