UNITID,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFA11N,SCFA11N,XSCFA11P,SCFA11P,XSCFA12N,SCFA12N,XSCFA12P,SCFA12P,XSCFA13N,SCFA13N,XSCFA13P,SCFA13P,XSCFA14N,SCFA14N,XSCFA14P,SCFA14P,XSCFA2,SCFA2,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XSCFY2,SCFY2,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XTOTGRNT,TOTGRNT,XTSTDPEL,TSTDPEL,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_A,FGRNT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_A,LOAN_A,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_A,AGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_A,OFGRT_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_A,OLOAN_A,XSCUGFFN,SCUGFFN,XSCUGRAD,SCUGRAD,XSCUGFFP,SCUGFFP 
100654,"R",882,"R",19,"R",107,"R",12,"R",430,"R",49,"R",345,"R",39,"Z",0,"Z",0,"R",4716,"A",,"A",,"A",,"R",815,"R",92,"R",17473759,"R",1607,"R",307,"R",35,"R",3060,"R",93,"R",11,"R",1443,"R",209,"R",24,"R",6600,"R",85,"R",10,"R",3512,"R",620,"R",70,"R",3956,"R",270,"R",31,"R",3386,"R",37,"R",4,"R",679,"R",83,"R",9,"R",3290,"R",2,"R",0,"R",12750,"R",882,"R",4716,"R",19
100663,"R",1392,"R",13,"Z",0,"Z",0,"R",1209,"R",87,"R",183,"R",13,"Z",0,"Z",0,"R",10796,"A",,"A",,"A",,"R",1075,"R",77,"R",24201973,"R",3074,"R",386,"R",28,"R",3738,"R",113,"R",8,"R",983,"R",532,"R",38,"R",5937,"R",587,"R",42,"R",4765,"R",802,"R",58,"R",5876,"R",385,"R",28,"R",3240,"R",130,"R",9,"R",1504,"R",583,"R",42,"R",4263,"R",38,"R",3,"R",8203,"R",1392,"R",10796,"R",13
100690,"R",3,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",343,"A",,"A",,"A",,"R",3,"R",100,"R",682109,"R",235,"R",3,"R",100,"R",3993,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",3,"R",100,"R",5167,"R",3,"R",100,"R",3993,"R",3,"R",100,"R",3327,"R",3,"R",100,"R",667,"R",3,"R",100,"R",3500,"R",1,"R",33,"R",5000,"R",3,"R",343,"R",1
100706,"R",759,"R",13,"Z",0,"Z",0,"R",649,"R",86,"R",110,"R",14,"Z",0,"Z",0,"R",5751,"A",,"A",,"A",,"R",619,"R",82,"R",10504180,"R",1393,"R",175,"R",23,"R",3661,"R",20,"R",3,"R",974,"R",478,"R",63,"R",3468,"R",288,"R",38,"R",4863,"R",553,"R",73,"R",4192,"R",175,"R",23,"R",3156,"R",82,"R",11,"R",1078,"R",288,"R",38,"R",4789,"R",2,"R",0,"R",10726,"R",759,"R",5751,"R",13
100724,"R",1351,"R",29,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1351,"R",100,"R",4647,"A",,"A",,"A",,"R",1020,"R",75,"R",21591067,"R",2891,"R",684,"R",51,"R",3885,"R",178,"R",13,"R",1469,"R",393,"R",29,"R",5501,"R",753,"R",56,"R",5005,"R",804,"R",60,"R",6320,"R",684,"R",51,"R",3430,"R",346,"R",26,"R",898,"R",750,"R",56,"R",4877,"R",19,"R",1,"R",5851,"R",1351,"R",4647,"R",29
100751,"R",4493,"R",21,"Z",0,"Z",0,"R",3070,"R",68,"R",1423,"R",32,"Z",0,"Z",0,"R",21081,"A",,"A",,"A",,"R",2995,"R",67,"R",13216165,"R",3673,"R",579,"R",13,"R",3692,"R",166,"R",4,"R",633,"R",1891,"R",42,"R",5803,"R",1701,"R",38,"R",5477,"R",2214,"R",49,"R",5969,"R",579,"R",13,"R",2989,"R",414,"R",9,"R",983,"R",1679,"R",37,"R",3973,"R",222,"R",5,"R",11917,"R",4493,"R",21081,"R",21
100760,"R",444,"R",20,"Z",0,"Z",0,"R",428,"R",96,"R",6,"R",1,"R",10,"R",2,"R",2177,"A",,"A",,"A",,"R",400,"R",90,"R",9649699,"R",1425,"R",237,"R",53,"R",3067,"R",47,"R",11,"R",823,"R",259,"R",58,"R",2595,"R",90,"R",20,"R",3577,"R",400,"R",90,"R",3594,"R",222,"R",50,"R",3144,"R",22,"R",5,"R",1322,"R",90,"R",20,"R",3577,"Z",0,"Z",0,"A",,"R",444,"R",2177,"R",20
100812,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3072,"A",,"A",,"A",,"A",,"A",,"R",1745,"R",920,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"R",3072,"A",
100830,"R",535,"R",12,"Z",0,"Z",0,"R",513,"R",96,"R",22,"R",4,"Z",0,"Z",0,"R",4353,"A",,"A",,"A",,"R",381,"R",71,"R",6386305,"R",1342,"R",266,"R",50,"R",2808,"R",155,"R",29,"R",854,"R",162,"R",30,"R",2330,"R",355,"R",66,"R",3174,"R",381,"R",71,"R",3299,"R",214,"R",40,"R",3340,"R",52,"R",10,"R",619,"R",355,"R",66,"R",3174,"Z",0,"Z",0,"A",,"R",535,"R",4353,"R",12
100858,"R",4160,"R",21,"Z",0,"Z",0,"R",2381,"R",57,"R",1779,"R",43,"Z",0,"Z",0,"R",19812,"A",,"A",,"A",,"R",2615,"R",63,"R",107302296,"R",2658,"R",575,"R",14,"R",5122,"R",177,"R",4,"R",4230,"R",1557,"R",37,"R",5418,"R",1294,"R",31,"R",8580,"R",1911,"R",46,"R",6348,"R",496,"R",12,"R",4215,"R",84,"R",2,"R",10172,"R",1294,"R",31,"R",8580,"Z",0,"Z",0,"A",,"R",4160,"R",19812,"R",21
