unitid,"xscfa1n",scfa1n,"xscfa1p",scfa1p,"xscfa11n",scfa11n,"xscfa11p",scfa11p,"xscfa12n",scfa12n,"xscfa12p",scfa12p,"xscfa13n",scfa13n,"xscfa13p",scfa13p,"xscfa14n",scfa14n,"xscfa14p",scfa14p,"xscfa2",scfa2,"xscfy1n",scfy1n,"xscfy1p",scfy1p,"xscfy2",scfy2,"xanyaidn",anyaidn,"xanyaidp",anyaidp,"xfgrnt_n",fgrnt_n,"xfgrnt_p",fgrnt_p,"xfgrnt_a",fgrnt_a,"xsgrnt_n",sgrnt_n,"xsgrnt_p",sgrnt_p,"xsgrnt_a",sgrnt_a,"xigrnt_n",igrnt_n,"xigrnt_p",igrnt_p,"xigrnt_a",igrnt_a,"xloan_n",loan_n,"xloan_p",loan_p,"xloan_a",loan_a
100654,"R",1111,"R",26,"R",0,"R",0,"R",649,"R",58,"R",462,"R",42,"R",0,"R",0,"R",4332,"R",,"R",,"R",,"R",871,"R",78,"R",801,"R",72,"R",2676,"R",2,"R",0,"H",,"R",92,"R",8,"R",2903,"R",1,"R",0,"H",
100663,"R",1147,"R",11,"R",0,"R",0,"R",1050,"R",92,"R",97,"R",8,"R",0,"R",0,"R",10420,"B",,"B",,"B",,"R",700,"R",61,"R",319,"R",28,"R",2542,"R",403,"R",35,"R",1125,"R",541,"R",47,"R",1500,"R",397,"R",35,"R",2726
100706,"R",538,"R",10,"A",,"B",,"R",451,"R",84,"R",87,"R",16,"R",0,"R",0,"R",5513,"B",,"B",,"B",,"R",486,"R",90,"R",92,"R",17,"R",2419,"R",142,"R",26,"R",1795,"R",389,"R",72,"R",1621,"R",160,"R",30,"R",2812
100724,"R",1173,"R",29,"R",219,"R",19,"R",598,"R",51,"R",356,"R",30,"R",0,"R",0,"R",4030,"B",,"B",,"B",,"R",1034,"R",88,"R",779,"R",66,"R",2265,"R",118,"R",10,"R",1657,"R",115,"R",10,"R",3088,"R",901,"R",77,"R",3406
100751,"R",2695,"R",18,"R",0,"R",0,"R",2129,"R",79,"R",566,"R",21,"R",0,"R",0,"R",14645,"B",,"B",,"B",,"R",1809,"R",67,"R",494,"R",18,"R",2623,"R",28,"R",1,"R",700,"R",1258,"R",47,"R",3807,"R",972,"R",36,"R",3506
100760,"R",368,"R",22,"R",336,"R",91,"R",0,"R",0,"R",12,"R",3,"R",20,"R",5,"R",1636,"B",,"B",,"B",,"R",291,"R",79,"R",130,"R",35,"R",933,"R",17,"R",5,"R",338,"R",169,"R",46,"R",898,"R",0,"R",0,"R",0
100830,"R",632,"R",21,"R",0,"R",0,"R",600,"R",95,"R",32,"R",5,"R",0,"R",0,"R",3003,"B",,"B",,"B",,"R",315,"R",50,"R",192,"R",30,"R",2493,"R",10,"R",2,"R",470,"R",72,"R",11,"R",2005,"R",210,"R",33,"R",3073
100858,"R",3653,"R",20,"A",,"B",,"R",2325,"R",64,"R",1328,"R",36,"R",0,"R",0,"R",18669,"B",,"B",,"B",,"R",1774,"R",49,"R",365,"R",10,"R",2283,"R",468,"R",13,"R",1639,"R",609,"R",17,"R",4480,"R",1161,"R",32,"R",2960
100919,"R",178,"R",13,"A",,"B",,"R",178,"R",100,"R",0,"R",0,"R",0,"R",0,"R",1379,"B",,"B",,"B",,"R",133,"R",75,"R",99,"R",56,"R",2177,"R",24,"R",13,"R",1450,"R",43,"R",24,"R",1071,"R",0,"R",0,"R",0
100937,"R",303,"R",22,"B",,"B",,"B",,"B",,"B",,"B",,"R",303,"R",100,"R",1395,"B",,"B",,"B",,"R",277,"R",91,"R",35,"R",12,"R",2180,"R",180,"R",59,"R",732,"R",256,"R",84,"R",6000,"R",167,"R",55,"R",3105
100973,"R",29,"R",19,"R",0,"R",0,"R",28,"R",97,"R",1,"R",3,"R",0,"R",0,"R",156,"B",,"B",,"B",,"R",19,"R",66,"R",19,"R",66,"R",1100,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
101028,"R",296,"R",17,"R",0,"R",0,"R",140,"R",47,"R",85,"R",29,"R",71,"R",24,"R",1735,"B",,"B",,"B",,"R",224,"R",76,"R",177,"R",60,"R",2270,"R",9,"R",3,"R",600,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
101073,"R",154,"R",29,"B",,"B",,"B",,"B",,"B",,"B",,"R",154,"R",100,"R",525,"B",,"B",,"B",,"R",154,"R",100,"R",114,"R",74,"R",1374,"R",98,"R",64,"R",384,"R",154,"R",100,"R",3000,"R",0,"R",0,"R",0
